"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Bean Latitude,Bean Longitude 
Letterpress,Maranura,1371,2014,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Lillie Belle,Perfect Illusion,855,2012,0.65,U.S.A.,3.5,Criollo,Peru,-12.664,-72.98
Lillie Belle,La Selva,903,2012,0.68,U.S.A.,3.75,,Peru,-12.664,-72.98
Machu Picchu Trading Co.,Peru,721,2011,0.70,Peru,1.5,,Peru,-12.664,-72.98
Machu Picchu Trading Co.,Peru,552,2010,0.55,Peru,2.25,,Peru,-12.664,-72.98
Mana,Peru,1219,2014,0.74,U.S.A.,2.5,,Peru,-12.664,-72.98
Manoa,Piura,1007,2012,0.72,U.S.A.,3,,Peru,-12.664,-72.98
Manufaktura Czekolady,Peru,1848,2016,0.70,Poland,3.5,,Peru,-12.664,-72.98
Map Chocolate,"Maranon, 2014",1474,2015,0.62,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,0.68,U.S.A.,3.5,Criollo,Peru,-12.664,-72.98
Marana,Piura,1872,2016,0.70,Peru,3,,Peru,-12.664,-72.98
Marana,Cusco,1884,2016,0.70,Peru,2.75,,Peru,-12.664,-72.98
Marana,San Martin,1884,2016,0.70,Peru,3,,Peru,-12.664,-72.98
Mast Brothers,San Martin,777,2011,0.75,U.S.A.,3,,Peru,-12.664,-72.98
Maverick,Tumbes,1430,2014,0.82,U.S.A.,3.25,Criollo,Peru,-12.664,-72.98
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,0.63,U.S.A.,3.5,Criollo,Peru,-12.664,-72.98
Molucca,Peru,1618,2015,0.70,U.S.A.,3.25,,Peru,-12.664,-72.98
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,0.78,Lithuania,3.75,Forastero (Nacional),Peru,-12.664,-72.98
Nathan Miller,Peru,1403,2014,0.72,U.S.A.,2.25,,Peru,-12.664,-72.98
Nibble,Tumbes,1526,2015,0.72,U.S.A.,3,Criollo,Peru,-12.664,-72.98
Night Owl,Peru,1022,2013,0.75,U.S.A.,2.75,,Peru,-12.664,-72.98
Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,0.75,U.S.A.,3.25,Forastero (Nacional),Peru,-12.664,-72.98
Obolo,Pangoa,1638,2015,0.70,Chile,3.75,Criollo,Peru,-12.664,-72.98
Obolo,"Pangoa, w/ nibs",1638,2015,0.70,Chile,3.75,Criollo,Peru,-12.664,-72.98
Ocelot,Piura,1558,2015,0.75,Scotland,4,Criollo,Peru,-12.664,-72.98
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,0.75,Switzerland,3,Criollo,Peru,-12.664,-72.98
Orquidea,Peru,859,2012,0.65,Peru,3,,Peru,-12.664,-72.98
Orquidea,Peru,859,2012,0.72,Peru,3,,Peru,-12.664,-72.98
Pacari,Piura,863,2012,0.70,Ecuador,4,,Peru,-12.664,-72.98
Pascha,Peru,1137,2013,0.55,Peru,2.5,,Peru,-12.664,-72.98
Pascha,Peru,1137,2013,0.70,Peru,2.75,,Peru,-12.664,-72.98
Patric,"Piura, Choc. Garage Exclusive",1034,2013,0.67,U.S.A.,4,,Peru,-12.664,-72.98
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,0.85,Belgium,3,Criollo,Peru,-12.664,-72.98
Pomm (aka Dead Dog),Peru,829,2012,0.82,U.S.A.,2.75,Criollo,Peru,-12.664,-72.98
Potomac,"San Martin, Amazonian Highlands",789,2011,0.70,U.S.A.,2.75,,Peru,-12.664,-72.98
Pralus,Peru,1446,2015,0.75,France,3.25,,Peru,-12.664,-72.98
Ranger,"San Martin, Batch 2",1558,2015,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
Ranger,"Chulucanas, Batch 1",1562,2015,0.80,U.S.A.,3.25,,Peru,-12.664,-72.98
Ranger,"Tumbes, Batch 2",1562,2015,0.73,U.S.A.,3.5,Criollo,Peru,-12.664,-72.98
Raoul Boulanger,Piura,1872,2016,0.75,France,3.25,Criollo,Peru,-12.664,-72.98
Ritual,"Maranon, Cajamarca",1181,2013,0.75,U.S.A.,3,Forastero (Nacional),Peru,-12.664,-72.98
Rogue,Piura,565,2010,0.75,U.S.A.,3.75,,Peru,-12.664,-72.98
Scharffen Berger,San Juan de Cheni,959,2012,0.78,U.S.A.,4,,Peru,-12.664,-72.98
Shattel,Tingo Maria,1884,2016,0.70,Peru,3.25,,Peru,-12.664,-72.98
Shattell,Porcelana,757,2011,0.75,Peru,3.5,Criollo,Peru,-12.664,-72.98
Sibu Sura,Peru,911,2012,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
"Smooth Chocolator, The","Maranon, batch 2",1666,2015,0.67,Australia,3,Forastero (Nacional),Peru,-12.664,-72.98
Solkiki,"Maranon, Fortunato No. 4",1840,2016,0.68,U.K.,2.75,Forastero (Nacional),Peru,-12.664,-72.98
Solstice,San Martin,1161,2013,0.70,U.S.A.,3.25,,Peru,-12.664,-72.98
Soma,Maranon Canyon,1259,2014,0.70,Canada,3.75,Forastero (Nacional),Peru,-12.664,-72.98
Soma,"Apurimac, El Quinacho Co-op",1073,2013,0.70,Canada,2.75,Criollo,Peru,-12.664,-72.98
Soma,Peruvian,676,2011,0.64,Canada,4,,Peru,-12.664,-72.98
Spencer,Peru,1932,2017,0.70,U.S.A.,2.75,,Peru,-12.664,-72.98
Summerbird,Peru,1800,2016,0.61,Denmark,2.5,"Criollo, Trinitario",Peru,-12.664,-72.98
Summerbird,Peru,1800,2016,0.71,Denmark,3,"Criollo, Trinitario",Peru,-12.664,-72.98
Szanto Tibor,"Ayacucho, ""El Guinacho""",939,2012,0.70,Hungary,3.75,,Peru,-12.664,-72.98
Tabal,Peru,1105,2013,0.70,U.S.A.,3,,Peru,-12.664,-72.98
TCHO,Fruity-beta,280,2008,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
TCHO,Nutty-beta,284,2008,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
Tejas,Capistrano,821,2012,0.70,U.S.A.,2,,Peru,-12.664,-72.98
Terroir,Peru,1478,2015,0.70,U.S.A.,2.75,,Peru,-12.664,-72.98
The Barn,Peru,1614,2015,0.70,Sweden,3,,Peru,-12.664,-72.98
Theobroma,"Piura Select, Cacao Blanc",1684,2015,0.70,Japan,3.25,,Peru,-12.664,-72.98
Two Ravens,Peru,1740,2016,0.60,U.S.A.,3,Criollo,Peru,-12.664,-72.98
Valrhona,"Piura, Illanka, Quemazon",1510,2015,0.63,France,4,,Peru,-12.664,-72.98
Vintage Plantations,San Martin,1205,2014,0.75,U.S.A.,3,,Peru,-12.664,-72.98
Violet Sky,Peru,1458,2015,0.77,U.S.A.,3.25,"Criollo, Trinitario",Peru,-12.664,-72.98
Vivra,Peru,1720,2016,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
Wellington Chocolate Factory,"Piura Blanco, Norandino",1756,2016,0.70,New Zealand,3.5,,Peru,-12.664,-72.98
Wilkie's Organic,Amazonas,1169,2013,0.75,Ireland,2.5,Criollo,Peru,-12.664,-72.98
Wilkie's Organic,Amazonas,1169,2013,0.89,Ireland,2.75,Criollo,Peru,-12.664,-72.98
Wilkie's Organic,Tumbes,1169,2013,0.75,Ireland,3.25,Criollo,Peru,-12.664,-72.98
Wilkie's Organic,Amazonas w/ nibs,1173,2013,0.75,Ireland,2.75,Criollo,Peru,-12.664,-72.98
Willie's Cacao,San Martin,457,2009,0.70,U.K.,3,,Peru,-12.664,-72.98
Woodblock,"Maranon, Cajamarca",1243,2014,0.70,U.S.A.,3,Forastero (Nacional),Peru,-12.664,-72.98
Zak's,"Peru, Batch 1",1578,2015,0.70,U.S.A.,3.25,,Peru,-12.664,-72.98
Zotter,"Satipo Pangoa region, 16hr conche",875,2012,0.70,Austria,3,Criollo (Amarru),Peru,-12.664,-72.98
Zotter,"Satipo Pangoa region, 20hr conche",875,2012,0.70,Austria,3.5,Criollo (Amarru),Peru,-12.664,-72.98
Zotter,Peru,647,2011,0.70,Austria,3.75,,Peru,-12.664,-72.98
A. Morin,Papua New Guinea,1015,2013,0.70,France,3.25,,Papua New Guinea,-5.636,142.798
Amano,Morobe,725,2011,0.70,U.S.A.,4,,Papua New Guinea,-5.636,142.798
Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,,Papua New Guinea,-5.636,142.798
Bahen & Co.,Papua New Guinea,1474,2015,0.70,Australia,3.5,,Papua New Guinea,-5.636,142.798
Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,,Papua New Guinea,-5.636,142.798
Cacao Sampaka,Papua,523,2010,0.71,Spain,4,,Papua New Guinea,-5.636,142.798
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,0.70,New Zealand,3.5,Trinitario,Papua New Guinea,-5.636,142.798
Captain Pembleton,Kulili Estate,1263,2014,0.70,New Zealand,3.75,,Papua New Guinea,-5.636,142.798
Cravve,New Ireland,1283,2014,0.70,Australia,2.5,Forastero,Papua New Guinea,-5.636,142.798
Cravve,Djual Island,975,2012,0.75,Australia,3.5,Forastero,Papua New Guinea,-5.636,142.798
Dandelion,Papua New Guinea,1153,2013,0.70,U.S.A.,3.5,,Papua New Guinea,-5.636,142.798
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,0.64,U.S.A.,3,,Papua New Guinea,-5.636,142.798
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,0.64,France,3,,Papua New Guinea,-5.636,142.798
Fresco,"Markham Valley, #219, LR, MC",899,2012,0.69,U.S.A.,3.5,,Papua New Guinea,-5.636,142.798
Fresco,"Markham Valley, #221, DR, MC",899,2012,0.69,U.S.A.,3.5,,Papua New Guinea,-5.636,142.798
Fresco,"Markham Valley, #220, MR, MC",927,2012,0.69,U.S.A.,4,Trinitario,Papua New Guinea,-5.636,142.798
Fresco,"Markham Valley, #222, LR, 0C",931,2012,0.69,U.S.A.,3,Trinitario,Papua New Guinea,-5.636,142.798
Habitual,Papua New Guinea,1197,2014,0.80,Canada,2.75,,Papua New Guinea,-5.636,142.798
Manoa,Markham Valley,1522,2015,0.72,U.S.A.,3.5,,Papua New Guinea,-5.636,142.798
Mast Brothers,Papua New Guinea,777,2011,0.71,U.S.A.,2.75,,Papua New Guinea,-5.636,142.798
Matale,"Kulili P., 2013",1177,2013,0.74,Australia,4,Trinitario,Papua New Guinea,-5.636,142.798
Michel Cluizel,Maralumi P.,24,2006,0.64,France,4,,Papua New Guinea,-5.636,142.798
Monsieur Truffe,Papaua New Guinea,1391,2014,0.70,Australia,3.25,,Papua New Guinea,-5.636,142.798
Neuhaus (Callebaut),Papua New Guinea,531,2010,0.70,Belgium,2.5,Criollo,Papua New Guinea,-5.636,142.798
Ocho,"PNG, Devotion",1411,2014,0.66,New Zealand,2.75,,Papua New Guinea,-5.636,142.798
Ocho,"PNG, Revolution",1411,2014,0.70,New Zealand,3,,Papua New Guinea,-5.636,142.798
Ocho,"PNG, Voodoo",1411,2014,0.88,New Zealand,3.25,,Papua New Guinea,-5.636,142.798
Ocho,"PNG, Nib Bar",1411,2014,0.74,New Zealand,3.5,,Papua New Guinea,-5.636,142.798
Omnom,Papua New Guinea,1247,2014,0.70,Iceland,3,,Papua New Guinea,-5.636,142.798
Original Beans (Felchlin),Papua Kerafat,1438,2014,0.68,Switzerland,2.75,,Papua New Guinea,-5.636,142.798
Pralus,Papouasie,199,2008,0.75,France,3,Trinitario,Papua New Guinea,-5.636,142.798
Scharffen Berger,Markham Valley,781,2011,0.68,U.S.A.,3.75,,Papua New Guinea,-5.636,142.798
Shark Mountain,Papua New Guinea,1450,2015,0.73,U.S.A.,3.5,Forastero,Papua New Guinea,-5.636,142.798
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,0.65,Australia,3.5,,Papua New Guinea,-5.636,142.798
Soma,Papua New Guinea,983,2012,0.85,Canada,3.5,Trinitario,Papua New Guinea,-5.636,142.798
Soma,Papua New Guinea,387,2009,0.70,Canada,3.5,Trinitario,Papua New Guinea,-5.636,142.798
Soul,Papua New Guinea,1936,2017,0.77,Canada,3.25,,Papua New Guinea,-5.636,142.798
Tablette (aka Vanillabeans),Papua,1450,2015,0.62,Japan,3.25,,Papua New Guinea,-5.636,142.798
Tejas,Aranama,805,2012,0.70,U.S.A.,3,,Papua New Guinea,-5.636,142.798
Zak's,"Papua New Guinea, Batch 2",1574,2015,0.70,U.S.A.,3,,Papua New Guinea,-5.636,142.798
Zokoko,Tokiala,701,2011,0.66,Australia,3.5,Trinitario,Papua New Guinea,-5.636,142.798
Zotter,Huiwani Coop,879,2012,0.75,Austria,3,"Criollo, Trinitario",Papua New Guinea,-5.636,142.798
A. Morin,Panama,1011,2013,0.70,France,2.75,,Panama,8.348,-81.005
Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,,Panama,8.348,-81.005
Bittersweet Origins,Bocas del Toro,233,2008,0.75,U.S.A.,3.5,,Panama,8.348,-81.005
Doble & Bignall,"Panama, Raven",1371,2014,0.72,U.K.,3.25,,Panama,8.348,-81.005
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,0.72,U.K.,3,,Panama,8.348,-81.005
Duffy's,Panama,516,2010,0.70,U.K.,3.5,,Panama,8.348,-81.005
Zotter,"Bocas del Toro, Cocabo Co-op",801,2012,0.72,Austria,3.5,,Panama,8.348,-81.005
Mars,Nigeria,544,2010,0.65,U.S.A.,3.25,,Nigeria,9.3417,7.678
Alexandre,"La Dalia, Matagalpa",1944,2017,0.70,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Altus aka Cao Artisan,Momotombo,1728,2016,0.60,U.S.A.,2.75,,Nicaragua,12.692,-85.03
Arete,Rugoso,1904,2016,0.70,U.S.A.,3.75,,Nicaragua,12.692,-85.03
Arete,Chuno,1598,2015,0.70,U.S.A.,4,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Bisou,"Nicaragua, American style",1482,2015,0.76,U.S.A.,2.5,,Nicaragua,12.692,-85.03
Black Mountain,Matiguas,256,2008,0.70,U.S.A.,3,,Nicaragua,12.692,-85.03
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.70,U.S.A.,3.75,,Nicaragua,12.692,-85.03
Castronovo,Nicaragua,1109,2013,0.72,U.S.A.,3.25,Trinitario,Nicaragua,12.692,-85.03
Chocolate Con Amor,Nicaragua,1768,2016,0.80,U.S.A.,2.75,,Nicaragua,12.692,-85.03
Damson,O'Payo,1666,2015,0.70,U.K.,2.75,,Nicaragua,12.692,-85.03
Doble & Bignall,Johe,1407,2014,0.72,U.K.,3.5,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Duffy's,"Chuno, Xoco",1331,2014,0.70,U.K.,3.5,Criollo,Nicaragua,12.692,-85.03
Duffy's,"Rico Rugoso, Xoco",1331,2014,0.76,U.K.,3.75,Criollo,Nicaragua,12.692,-85.03
Duffy's,"Nicaliso, Xoco",697,2011,0.71,U.K.,3.25,Criollo,Nicaragua,12.692,-85.03
French Broad,Matagalpa,1295,2014,0.68,U.S.A.,3.25,,Nicaragua,12.692,-85.03
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,0.70,Denmark,3.5,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),La Dalia,1680,2015,0.60,Denmark,3,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),La Dalia,1680,2015,0.85,Denmark,3.25,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),La Dalia,1259,2014,0.70,Denmark,3.5,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,0.70,Denmark,3.25,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,0.70,Denmark,3.5,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,0.70,Denmark,3.25,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,0.70,Denmark,3.25,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,0.70,Denmark,3.75,,Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Johe, Xoco",623,2011,0.70,Denmark,3.25,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,0.70,Denmark,3.5,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,0.70,Denmark,3.5,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Goodnow Farms,"El Carmen, batch 1003",1924,2016,0.77,U.S.A.,3.25,,Nicaragua,12.692,-85.03
Guittard,Nicaragua,1053,2013,0.65,U.S.A.,2.75,,Nicaragua,12.692,-85.03
Hummingbird,Momotombo,1311,2014,0.70,Canada,3,Trinitario,Nicaragua,12.692,-85.03
L'Amourette,Rugoso,1784,2016,0.80,U.S.A.,3.5,Trinitario,Nicaragua,12.692,-85.03
Love Bar,Nicaragua,1502,2015,0.75,U.S.A.,2,,Nicaragua,12.692,-85.03
Manufaktura Czekolady,Johe,1844,2016,0.70,Poland,3.75,,Nicaragua,12.692,-85.03
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,0.70,U.S.A.,3.5,,Nicaragua,12.692,-85.03
Meadowlands,"Nicaragua, w/ inbs",1291,2014,0.70,U.S.A.,3,,Nicaragua,12.692,-85.03
Mesocacao,"La Tronca, Matagalpa",1351,2014,0.70,Honduras,3.25,,Nicaragua,12.692,-85.03
Mesocacao,"La Tronca, Matagalpa",1351,2014,0.80,Honduras,3.5,,Nicaragua,12.692,-85.03
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,0.70,U.S.A.,3.5,,Nicaragua,12.692,-85.03
Momotombo,Matagalpa,661,2011,0.70,Nicaragua,2.75,,Nicaragua,12.692,-85.03
Momotombo,Mombacho,661,2011,0.70,Nicaragua,2.75,,Nicaragua,12.692,-85.03
Momotombo,Oscuro,772,2011,0.70,Nicaragua,3.25,,Nicaragua,12.692,-85.03
Muchomas (Mesocacao),Nicaragua,1462,2015,0.70,U.S.A.,3.5,,Nicaragua,12.692,-85.03
Muchomas (Mesocacao),Nicaragua,1462,2015,0.80,U.S.A.,3.5,,Nicaragua,12.692,-85.03
Na�ve,Nicaragua,1379,2014,0.70,Lithuania,3.25,Criollo,Nicaragua,12.692,-85.03
Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,0.70,Nicaragua,3,,Nicaragua,12.692,-85.03
Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label",935,2012,0.75,Niacragua,2.75,,Nicaragua,12.692,-85.03
organicfair,Nicaraqua,1165,2013,0.72,Canada,2.75,Trinitario,Nicaragua,12.692,-85.03
Pitch Dark,Tenor,1506,2015,0.62,U.S.A.,2.5,,Nicaragua,12.692,-85.03
Pitch Dark,Johe,1506,2015,0.80,U.S.A.,2.75,,Nicaragua,12.692,-85.03
Pitch Dark,Chuno,1510,2015,0.80,U.S.A.,2.75,"Criollo, Trinitario",Nicaragua,12.692,-85.03
Pitch Dark,Nicalizo,1510,2015,0.80,U.S.A.,2.75,Trinitario,Nicaragua,12.692,-85.03
Pitch Dark,Rugoso,1510,2015,0.80,U.S.A.,3.25,,Nicaragua,12.692,-85.03
Sjolinds,Nicaragua,1462,2015,0.72,U.S.A.,3,,Nicaragua,12.692,-85.03
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,0.70,Canada,3.75,Trinitario,Nicaragua,12.692,-85.03
Soma,"La Tronca, Matagalpa",1227,2014,0.70,Canada,3.5,,Nicaragua,12.692,-85.03
Soma,La Dalia,1307,2014,0.70,Canada,3.25,Trinitario,Nicaragua,12.692,-85.03
Somerville,Nicaragua,1367,2014,0.70,U.S.A.,3.25,,Nicaragua,12.692,-85.03
Starchild,Rio Tuma,1692,2015,0.70,U.S.A.,3,Trinitario (Amelonado),Nicaragua,12.692,-85.03
Szanto Tibor,Cacao Blanco,1193,2013,0.70,Hungary,3.25,,Nicaragua,12.692,-85.03
Undone,Matagalpa,1438,2014,0.74,U.S.A.,2.75,,Nicaragua,12.692,-85.03
Ah Cacao,Tabasco,316,2009,0.70,Mexico,3,Criollo,Mexico,22.925,-101.68
Ara,Chiapas,1379,2014,0.72,France,2.5,,Mexico,22.925,-101.68
Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Trinitario,Mexico,22.925,-101.68
Bar Au Chocolat,Chiapas,983,2012,0.70,U.S.A.,3.5,,Mexico,22.925,-101.68
Bonnat,Selva Maya,1912,2016,0.75,France,3.5,,Mexico,22.925,-101.68
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3,Criollo,Mexico,22.925,-101.68
Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3,Criollo,Mexico,22.925,-101.68
Cacao Barry,Mexico,147,2007,0.66,France,3,,Mexico,22.925,-101.68
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,0.70,Spain,4,Criollo,Mexico,22.925,-101.68
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,0.70,Spain,4,Criollo,Mexico,22.925,-101.68
Chocolats Privilege,Xoconusco,1219,2014,0.70,Canada,2.5,Criollo,Mexico,22.925,-101.68
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,0.65,Canada,3.25,,Mexico,22.925,-101.68
Chocovic,Xoconusco,478,2010,0.71,Spain,3.25,Criollo,Mexico,22.925,-101.68
Chocovivo,Tabasco,1522,2015,0.65,U.S.A.,2.5,Trinitario,Mexico,22.925,-101.68
Chocovivo,Tabasco,1522,2015,0.75,U.S.A.,2.5,Trinitario,Mexico,22.925,-101.68
Choklat,"Porcelana, Tabasco",377,2009,0.70,Canada,2.75,Criollo,Mexico,22.925,-101.68
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,0.75,Canada,3.25,,Mexico,22.925,-101.68
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,0.72,Germany,3,Criollo,Mexico,22.925,-101.68
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,0.77,U.S.A.,2.75,,Mexico,22.925,-101.68
Ki' Xocolatl,Dark,431,2009,0.72,Mexico,2,,Mexico,22.925,-101.68
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,0.70,U.S.A.,2.75,,Mexico,22.925,-101.68
Madre,"Chiapas, Triple Cacao",607,2010,0.72,U.S.A.,2.75,,Mexico,22.925,-101.68
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,0.66,France,3.75,,Mexico,22.925,-101.68
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,0.72,Belgium,3,Criollo,Mexico,22.925,-101.68
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,0.72,Belgium,4,Criollo,Mexico,22.925,-101.68
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,0.70,Mexico,2.75,Criollo,Mexico,22.925,-101.68
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,0.74,Mexico,3,Trinitario,Mexico,22.925,-101.68
Tabal,"Chiapas, Lacandon Jungle",1105,2013,0.70,U.S.A.,2.5,,Mexico,22.925,-101.68
Taza,Chiapan,451,2009,0.75,U.S.A.,2.75,,Mexico,22.925,-101.68
Tejas,Espada,833,2012,0.70,U.S.A.,3.25,,Mexico,22.925,-101.68
Chokolat Elot (Girard),Guadeloupe,1149,2013,0.42,Martinique,2.75,,Martinique,14.652,-61.021
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3,,Malaysia,4.416,102.099
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,,Malaysia,4.416,102.099
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,0.70,South Korea,3.5,Trinitario,Malaysia,4.416,102.099
Soma,Little Big Man,1339,2014,0.70,Canada,3.25,Blend,Madagascar & Ecuador,,
A. Morin,Madagascar,1011,2013,0.70,France,3,Criollo,Madagascar,-19.615,46.645
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Criollo,Madagascar,-19.615,46.645
Alain Ducasse,Madagascar,1215,2014,0.75,France,3,Trinitario,Madagascar,-19.615,46.645
Amano,Madagascar,129,2007,0.70,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Trinitario,Madagascar,-19.615,46.645
Amedei,Madagascar,123,2007,0.70,Italy,4,Trinitario (85% Criollo),Madagascar,-19.615,46.645
Ara,Madagascar,1375,2014,0.75,France,3,Trinitario,Madagascar,-19.615,46.645
Artisan du Chocolat,Madagascar,363,2009,0.80,U.K.,3,"Criollo, Trinitario",Madagascar,-19.615,46.645
Bahen & Co.,Sambirano,995,2012,0.70,Australia,3,Trinitario,Madagascar,-19.615,46.645
Bar Au Chocolat,Sambirano,983,2012,0.70,U.S.A.,3.75,Trinitario,Madagascar,-19.615,46.645
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,Belgium,3.75,Trinitario,Madagascar,-19.615,46.645
Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3,Trinitario,Madagascar,-19.615,46.645
Bittersweet Origins,"Sambirano, 2009",565,2010,0.70,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Blue Bandana,Madagascar,911,2012,0.70,U.S.A.,3.75,Trinitario,Madagascar,-19.615,46.645
Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4,Criollo,Madagascar,-19.615,46.645
Bonnat,Madagascar,75,2006,0.75,France,4,Trinitario,Madagascar,-19.615,46.645
Brazen,Ambolikapiky P.,1518,2015,0.80,U.S.A.,2.75,,Madagascar,-19.615,46.645
Brazen,Ambolikapkly P.,1518,2015,0.60,U.S.A.,3.25,,Madagascar,-19.615,46.645
Bright,Somia Plantation,1231,2014,0.72,Australia,3,Trinitario,Madagascar,-19.615,46.645
Cacao Sampaka,Madagascar,508,2010,0.71,Spain,3.5,Trinitario,Madagascar,-19.615,46.645
Cacao Store,Madagascar,1684,2015,0.70,Japan,3,Trinitario,Madagascar,-19.615,46.645
Chocola'te,Madagascar,647,2011,0.70,U.S.A.,3.75,Trinitario,Madagascar,-19.615,46.645
"Chocolate Tree, The",Madagascar,919,2012,0.72,Scotland,3.25,Criollo,Madagascar,-19.615,46.645
Chocovic,Sambirano,478,2010,0.71,Spain,3.5,Trinitario,Madagascar,-19.615,46.645
Coleman & Davis,Sambirano,1646,2015,0.75,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Coppeneur,Madagascar,959,2012,0.70,Germany,3.5,Trinitario,Madagascar,-19.615,46.645
Coppeneur,"Sambirano, Menava P.",196,2007,0.72,Germany,3,Trinitario,Madagascar,-19.615,46.645
